"File";"NEF";"TIFF";"Date Created";"Date Modified";"File Size";"Image Size";"Date Shot";"Time Zone and Date";"Image Quality";"Artist";"Copyright";"Image Comment";"Device";"Lens";"Focal Length";"Focus Mode";"AF-Area Mode";"VR";"AF Fine Tune";"Aperture";"Shutter Speed";"Exposure Mode";"Exposure Comp.";"Exposure Tuning";"Metering";"ISO Sensitivity";"Flash Device";"Flash Sync Mode";"Flash Mode";"White Balance";"Color Space";"High ISO NR";"Long Exposure NR";"Active D-Lighting";"Image Authentication";"Vignette Control";"Auto Distortion Control";"Picture Control";"Base";"Quick Adjust";"Sharpening";"Contrast";"Brightness";"Saturation";"Hue";"Filter Effects";"Toning";"Optimize Image";"Color Mode";"Tone Comp.";"Hue Adjustment";"Saturation";"Sharpening";"Latitude";"Longitude";"Altitude";"Altitude Reference";"Heading";"UTC";"Map Datum";"Scene Mode";"Keywords"
"r069e346et";"http://193.205.194.113/RAISE/NEF/r069e346et.NEF";"http://193.205.194.113/RAISE/TIFF/r069e346et.TIF";"9/20/2014 18:11";"8/23/2012 10:28";"18.9 MB";"L (4928 x 3264)";"28:02.3";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/10";"1/125s";"Manual";"0EV";"";"Matrix";"ISO 200";"";"";"";"Cloudy; 0; 0";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"6";"2";"1";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r3bacc1d2t";"http://193.205.194.113/RAISE/NEF/r3bacc1d2t.NEF";"http://193.205.194.113/RAISE/TIFF/r3bacc1d2t.TIF";"9/20/2014 18:11";"8/23/2012 10:28";"19.4 MB";"L (4928 x 3264)";"28:15.6";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/10";"1/125s";"Manual";"0EV";"";"Matrix";"ISO 200";"";"";"";"Cloudy; 0; 0";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"6";"2";"1";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r39436d87t";"http://193.205.194.113/RAISE/NEF/r39436d87t.NEF";"http://193.205.194.113/RAISE/TIFF/r39436d87t.TIF";"9/20/2014 18:11";"8/23/2012 10:28";"20.7 MB";"L (4928 x 3264)";"28:46.6";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"18mm";"AF-A";"Auto";"ON";"OFF";"f/13";"1/125s";"Manual";"0EV";"";"Matrix";"ISO 200";"";"";"";"Cloudy; 0; 0";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"6";"2";"1";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r95b08e31t";"http://193.205.194.113/RAISE/NEF/r95b08e31t.NEF";"http://193.205.194.113/RAISE/TIFF/r95b08e31t.TIF";"9/20/2014 18:11";"8/23/2012 10:29";"17.8 MB";"L (4928 x 3264)";"29:53.9";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/14";"1/125s";"Manual";"0EV";"";"Matrix";"ISO 200";"";"";"";"Cloudy; 0; 0";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"6";"2";"1";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r885079b8t";"http://193.205.194.113/RAISE/NEF/r885079b8t.NEF";"http://193.205.194.113/RAISE/TIFF/r885079b8t.TIF";"9/20/2014 18:27";"8/7/2012 7:17";"18.7 MB";"L (4928 x 3264)";"17:30.3";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/13";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"rad5b5878t";"http://193.205.194.113/RAISE/NEF/rad5b5878t.NEF";"http://193.205.194.113/RAISE/TIFF/rad5b5878t.TIF";"9/20/2014 18:28";"8/7/2012 7:20";"17.2 MB";"L (4928 x 3264)";"20:26.6";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/22";"1/125s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r4359075bt";"http://193.205.194.113/RAISE/NEF/r4359075bt.NEF";"http://193.205.194.113/RAISE/TIFF/r4359075bt.TIF";"9/20/2014 18:28";"8/7/2012 7:21";"17.6 MB";"L (4928 x 3264)";"21:38.2";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/25";"1/80s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r65b20842t";"http://193.205.194.113/RAISE/NEF/r65b20842t.NEF";"http://193.205.194.113/RAISE/TIFF/r65b20842t.TIF";"9/20/2014 18:28";"8/7/2012 7:21";"17.1 MB";"L (4928 x 3264)";"21:54.3";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/25";"1/80s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r8abcf61dt";"http://193.205.194.113/RAISE/NEF/r8abcf61dt.NEF";"http://193.205.194.113/RAISE/TIFF/r8abcf61dt.TIF";"9/20/2014 18:29";"8/7/2012 7:30";"17.3 MB";"L (4928 x 3264)";"30:15.0";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/13";"1/60s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r0c5e9567t";"http://193.205.194.113/RAISE/NEF/r0c5e9567t.NEF";"http://193.205.194.113/RAISE/TIFF/r0c5e9567t.TIF";"9/20/2014 19:07";"8/7/2012 13:43";"18.5 MB";"L (4928 x 3264)";"43:29.5";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"112mm";"AF-A";"Auto";"ON";"OFF";"f/10";"1/500s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; B3; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r8578eafdt";"http://193.205.194.113/RAISE/NEF/r8578eafdt.NEF";"http://193.205.194.113/RAISE/TIFF/r8578eafdt.TIF";"9/20/2014 19:07";"8/7/2012 14:10";"19.6 MB";"L (4928 x 3264)";"10:18.4";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"50mm";"AF-A";"Auto";"ON";"OFF";"f/9";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; B3; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r179ec4e8t";"http://193.205.194.113/RAISE/NEF/r179ec4e8t.NEF";"http://193.205.194.113/RAISE/TIFF/r179ec4e8t.TIF";"9/20/2014 19:07";"8/7/2012 14:10";"19.8 MB";"L (4928 x 3264)";"10:42.3";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"20mm";"AF-A";"Auto";"ON";"OFF";"f/9";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; B3; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"8";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"rc5c4bbd3t";"http://193.205.194.113/RAISE/NEF/rc5c4bbd3t.NEF";"http://193.205.194.113/RAISE/TIFF/rc5c4bbd3t.TIF";"9/20/2014 19:46";"8/13/2012 11:39";"18.6 MB";"L (4928 x 3264)";"39:14.8";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"105mm";"AF-A";"Auto";"ON";"OFF";"f/9";"1/250s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r209f6d4at";"http://193.205.194.113/RAISE/NEF/r209f6d4at.NEF";"http://193.205.194.113/RAISE/TIFF/r209f6d4at.TIF";"9/20/2014 19:46";"8/13/2012 11:42";"18.2 MB";"L (4928 x 3264)";"42:11.0";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"48mm";"AF-A";"Auto";"ON";"OFF";"f/13";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r9c8bd24et";"http://193.205.194.113/RAISE/NEF/r9c8bd24et.NEF";"http://193.205.194.113/RAISE/TIFF/r9c8bd24et.TIF";"9/20/2014 19:46";"8/13/2012 11:42";"17.6 MB";"L (4928 x 3264)";"42:30.7";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/14";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"rbfb29a75t";"http://193.205.194.113/RAISE/NEF/rbfb29a75t.NEF";"http://193.205.194.113/RAISE/TIFF/rbfb29a75t.TIF";"9/20/2014 19:47";"8/13/2012 11:52";"18.7 MB";"L (4928 x 3264)";"52:07.2";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"18mm";"AF-A";"Auto";"ON";"OFF";"f/18";"1/125s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r5c782fcft";"http://193.205.194.113/RAISE/NEF/r5c782fcft.NEF";"http://193.205.194.113/RAISE/TIFF/r5c782fcft.TIF";"9/20/2014 19:47";"8/13/2012 12:00";"19.2 MB";"L (4928 x 3264)";"00:07.6";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"95mm";"AF-A";"Auto";"ON";"OFF";"f/14";"1/200s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"re5569a15t";"http://193.205.194.113/RAISE/NEF/re5569a15t.NEF";"http://193.205.194.113/RAISE/TIFF/re5569a15t.TIF";"9/20/2014 19:47";"8/13/2012 12:00";"18.9 MB";"L (4928 x 3264)";"00:34.1";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"105mm";"AF-A";"Auto";"ON";"OFF";"f/14";"1/200s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r4e051620t";"http://193.205.194.113/RAISE/NEF/r4e051620t.NEF";"http://193.205.194.113/RAISE/TIFF/r4e051620t.TIF";"9/20/2014 19:47";"8/13/2012 12:00";"18.1 MB";"L (4928 x 3264)";"00:56.4";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/11";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r3afdd207t";"http://193.205.194.113/RAISE/NEF/r3afdd207t.NEF";"http://193.205.194.113/RAISE/TIFF/r3afdd207t.TIF";"9/20/2014 19:47";"8/13/2012 12:02";"18.4 MB";"L (4928 x 3264)";"02:28.2";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"135mm";"AF-A";"Auto";"ON";"OFF";"f/25";"1/80s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r437a39bft";"http://193.205.194.113/RAISE/NEF/r437a39bft.NEF";"http://193.205.194.113/RAISE/TIFF/r437a39bft.TIF";"9/20/2014 19:47";"8/13/2012 12:04";"18.4 MB";"L (4928 x 3264)";"04:30.3";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"200mm";"AF-A";"Auto";"ON";"OFF";"f/16";"1/100s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
"r9801f080t";"http://193.205.194.113/RAISE/NEF/r9801f080t.NEF";"http://193.205.194.113/RAISE/TIFF/r9801f080t.TIF";"9/20/2014 19:48";"8/13/2012 12:07";"20.3 MB";"L (4928 x 3264)";"07:43.4";"UTC+1; DST:ON";"Lossless Compressed RAW (14-bit)";"dnductien                           ";"DNDUCTIEN                                             ";"";"Nikon D7000";"VR 18-200mm f/3.5-5.6G";"70mm";"AF-A";"Auto";"ON";"OFF";"f/20";"1/160s";"Manual";"0EV";"";"Spot";"ISO 200";"";"";"";"Cloudy; A2; G1";"sRGB";"ON (Normal)";"OFF";"OFF";"";"";"OFF";"[LS] Landscape";"[LS] Landscape";"-";"7";"-1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nature; outdoor"
